できるキッズ 子どもと学ぶ Scratch3 プログラミング入門	¥1,880＋税	2020/3/27	株式会社TENTO　著/できるシリーズ編集部　著
2020/2/6	¥1,400＋税	マンガでなるほど! 親子で学ぶ プログラミング教育	石戸奈々子　監修/マルサイ　漫画
¥1,000＋税	渡辺保裕　漫画/長谷川晶一　原作	高速スライダー 幸運な男・伊藤智仁	2020/1/24
2019/12/24	インバウンド調査報告書2020 ［2019年上期のデータから2020年上期を展望する］	¥100,000＋税	訪日ラボ　著
クラウド＆データセンター完全ガイド 2020年冬号	完全ガイド編集部　編	2019/12/23	¥2,000＋税
¥1,600＋税	2019/12/23	いちばんやさしいキャッシュレス決済の教本 人気講師が教える新たな経済圏のビジネス	川野祐司　著
2019/12/21	TAKUYA∞　著	Another Live	¥3,800＋税
プロ絵師の技を完全マスター 魅せる背景 上達術 決定版 CLIP STUDIO PAINT PRO/EX対応	ゼンジ　著/電鬼　イラスト/吉田誠治　イラスト/サイドランチ　著/吉川アキ　イラスト	2019/12/20	¥2,200＋税
鈴木雄翔　著/高橋俊輔　著	動画広告“打ち手”大全 ネット広告の新時代を勝ち抜く施策設計 最強の戦略80（できるMarketing Bible）	¥2,500＋税	2019/12/20
田口和裕　著/いしたにまさき　著/できるシリーズ編集部　著	できるfit Instagram インスタグラム 基本＋活用ワザ	¥1,280＋税	2019/12/20
¥1,000＋税	デジタルカメラマガジン 2020年1月号	2019/12/20	デジタルカメラマガジン編集部　編
¥2,400＋税	奥田理恵　著/できるシリーズ編集部　著	できる Power BI データ集計・分析・可視化ノウハウが身に付く本	2019/12/20
清水美樹　訳/Andriy Burkov　著	機械学習 100＋ページ エッセンス	¥3,500＋税	2019/12/20
2019/12/20	西川 善司　著	ゲーム制作者になるための3Dグラフィックス技術 改訂3版	¥4,000＋税
iPhone芸人かじがや卓哉の超スゴいiPhone 超絶便利なテクニック125 11/Pro/Pro Max/XS/XS Max/XR/X対応	かじがや卓哉　著	¥1,380＋税	2019/12/20
黒田 努　著	Ruby on Rails 6 実践ガイド	¥3,500＋税	2019/12/20
¥2,200＋税	直感でわかる！Excelで機械学習	2019/12/20	堅田 洋資　著/福澤 彰吾　著
熱田 護　著	500GP	¥4,545＋税	2019/12/19
¥890＋税	2019/12/18	貯める 締める 見直す 子育てママのゆるっと貯金BOOK	primary inc.,　著
海外ドローンビジネスの最新動向と日本の展望2020	2019/12/18	田中亘　著/野々下裕子　著/春原久徳　著/インプレス総合研究所　著	¥95,000＋税
徹底攻略 情報セキュリティマネジメント教科書 令和2年度	¥1,780＋税	株式会社わくわくスタディワールド 瀬戸美月／齋藤健一　著	2019/12/13
¥2,300＋税	宅建ダイナマイト合格スクール 大澤 茂雄　著	2019/12/13	合格しようぜ！宅建士2020 音声付き過去15年問題集
間久保 恭子　著	¥1,180＋税	かんたん合格 ITパスポート過去問題集 令和2年度春期	2019/12/13
法林岳之　著/清水理史　著/できるシリーズ編集部　著	2019/12/10	¥1,380＋税	できるポケット docomo HUAWEI P30 Pro 基本＆活用ワザ 完全ガイド
五十嵐 聡　著	¥1,480＋税	2019/12/6	徹底攻略 情報セキュリティマネジメント過去問題集 令和2年度春期
鈴木雅暢　著/竹内亮介　著/北川達也ほか　著/DOS/V POWER REPORT編集部　編	¥1,680＋税	2019/11/29	PC自作・チューンナップ虎の巻 二〇二〇【DOS/V POWER REPORT 特別編集】
2019/11/29	¥480＋税	ゴーズ　著	世界一やさしい iPhone 11/Pro/Pro MAX
¥2,300＋税	合格しようぜ！宅建士2020 音声付きテーマ別ベストセレクト問題集	2019/11/29	宅建ダイナマイト合格スクール 大澤 茂雄　著
門脇 香奈子　著/できるシリーズ編集部　著	¥2,300＋税	2019/11/29	できるExcelピボットテーブル Office 365/2019/2016/2013対応 データ集計・分析に役立つ本
¥1,980＋税	できるExcelグラフ Office 365/2019/2016/2013対応 魅せる＆伝わる資料作成に役立つ本	2019/11/29	きたみあきこ　著/できるシリーズ編集部　著
かんたん合格 基本情報技術者過去問題集 令和2年度春期	株式会社ノマド・ワークス　著	2019/11/28	¥1,480＋税
余白で叶える、スッキリ空間 わたしの「狭い暮らし」ルール	2019/11/22	インプレス書籍編集部　著	¥1,300＋税
